Filme,Diretor,Genero,Ano,Pais,Avaliacao,IMDb Rating
O filho de Saul,László Nemes,"Drama, Guerra",2015,Hungria,,7.4
Corpo e alma,Ildikó Enyedi,Drama,2017,Hungria,,7.5
Os Banshees de Inisherin,Martin McDonagh,"Comédia, Drama",2022,Irlanda,,7.7
Air,Ben Affleck,"Drama, Biografia",2023,Estados Unidos,,7.8
O jogo da imitação,Morten Tyldum,"Drama, Biografia",2014,Inglaterra,,8.0
Não Olhe para Cima,Adam McKay,"Comédia, Drama",2021,Estados Unidos,,7.2
Mulher Rei,Gina Prince-Bythewood,Ação,2022,Estados Unidos,,6.8
Nós,Jordan Peele,Terror,2019,Estados Unidos,,6.8
O homem nas trevas,Fede Alvarez,"Crime, Terror",2016,Estados Unidos,,7.1
Feito na américa,Doug Liman,Ação,2017,Estados Unidos,,7.1
Eduardo e Mônica,René Sampaio,"Drama, Romance",2020,Brasil,,7.4
O homem do futuro,Cláudio Torres,"Comédia, Romance",2011,Brasil,,6.9
Nise,Roberto Berliner,"Drama, Biografia",2015,Brasil,,7.6
O colecionador de ossos,Phillip Noyce,"Crime, Drama",1999,Estados Unidos,,6.7
No rastro da bala,Wayne Kramer,Ação,2006,Estados Unidos,,7.3
Morto não fala,Dennison Ramalho,Terror,2018,Brasil,,6.2
O preço do amanhã,Andrew Niccol,"Ação, Ficção científica",2011,Estados Unidos,,6.7
Prazeres mortais,Erik Van Looy,Suspense,2014,Estados Unidos,,6.3
